countryOfAsylum,countryOfOrigin,year,totalRefugees
AFG,IRQ,2013,1
AFG,IRN,2013,36
AFG,PAK,2013,16825
AFG,PSE,2013,1
ALB,DZA,2013,0
ALB,CHN,2013,12
ALB,COD,2013,5
ALB,EGY,2013,3
ALB,IRQ,2013,5
ALB,MNE,2013,2
ALB,PER,2013,1
ALB,SRB,2013,54
ALB,PSE,2013,4
ALB,TUN,2013,0
ALB,TUR,2013,4
ALB,UZB,2013,3
DZA,AFG,2013,2
DZA,AGO,2013,4
DZA,BDI,2013,1
DZA,CMR,2013,10
DZA,CAF,2013,1
DZA,TCD,2013,2
DZA,COG,2013,7
DZA,CIV,2013,30
DZA,COD,2013,43
DZA,ERI,2013,1
DZA,GIN,2013,1
DZA,IRQ,2013,15
DZA,LBR,2013,2
DZA,MLI,2013,0
DZA,MRT,2013,1
DZA,NGA,2013,2
DZA,SOM,2013,4
DZA,PSE,2013,4017
DZA,TGO,2013,3
DZA,ESH,2013,90000
DZA,YEM,2013,4
AGO,DZA,2013,1
AGO,BDI,2013,18
AGO,CAF,2013,13
AGO,TCD,2013,195
AGO,COG,2013,65
AGO,CIV,2013,407
AGO,CUB,2013,2
AGO,COD,2013,21104
AGO,ERI,2013,5
AGO,GIN,2013,164
AGO,GNB,2013,5
AGO,HTI,2013,2
AGO,IRQ,2013,2
AGO,LBR,2013,160
AGO,MRT,2013,235
AGO,RWA,2013,458
AGO,SLE,2013,413
AGO,SOM,2013,215
AGO,ZAF,2013,2
AGO,SDN,2013,281
AGO,UGA,2013,2
AGO,TZA,2013,6
AGO,ESH,2013,27
AGO,ZMB,2013,1
ARG,AFG,2013,1
ARG,ALB,2013,25
ARG,DZA,2013,41
ARG,AGO,2013,13
ARG,ARM,2013,122
ARG,BGD,2013,0
ARG,BLR,2013,1
ARG,BEN,2013,1
ARG,BOL,2013,3
ARG,BIH,2013,6
ARG,BRA,2013,1
ARG,BGR,2013,2
ARG,BDI,2013,5
ARG,CMR,2013,11
ARG,CAF,2013,2
ARG,TCD,2013,2
ARG,CHL,2013,36
ARG,CHN,2013,2
ARG,COL,2013,526
ARG,COG,2013,9
ARG,CRI,2013,5
ARG,CIV,2013,36
ARG,HRV,2013,2
ARG,CUB,2013,345
ARG,COD,2013,16
ARG,DOM,2013,2
ARG,ECU,2013,15
ARG,EGY,2013,5
ARG,SLV,2013,13
ARG,ERI,2013,2
ARG,ETH,2013,3
ARG,GMB,2013,2
ARG,GEO,2013,5
ARG,GHA,2013,62
ARG,GTM,2013,1
ARG,GIN,2013,10
ARG,GNB,2013,19
ARG,HTI,2013,62
ARG,HND,2013,4
ARG,IND,2013,32
ARG,IRQ,2013,25
ARG,IRN,2013,18
ARG,ITA,2013,1
ARG,KAZ,2013,22
ARG,KEN,2013,1
ARG,KGZ,2013,3
ARG,LBR,2013,69
ARG,MLI,2013,19
ARG,MRT,2013,2
ARG,MEX,2013,1
ARG,MAR,2013,2
ARG,NIC,2013,2
ARG,NGA,2013,50
ARG,PAK,2013,43
ARG,PRY,2013,3
ARG,PER,2013,582
ARG,ROU,2013,54
ARG,RUS,2013,61
ARG,RWA,2013,1
ARG,SEN,2013,66
ARG,SRB,2013,17
ARG,SLE,2013,41
ARG,SOM,2013,5
ARG,ZAF,2013,3
ARG,LKA,2013,34
ARG,SDN,2013,3
ARG,SYR,2013,159
ARG,TGO,2013,2
ARG,TUN,2013,2
ARG,TUR,2013,12
ARG,TKM,2013,2
ARG,UKR,2013,24
ARG,USA,2013,4
ARG,VEN,2013,1
ARG,YEM,2013,15
ARG,ZWE,2013,3
ARM,AZE,2013,1607
ARM,CIV,2013,6
ARM,ETH,2013,1
ARM,GEO,2013,8
ARM,IRQ,2013,967
ARM,IRN,2013,27
ARM,KAZ,2013,1
ARM,LBN,2013,17
ARM,RUS,2013,1
ARM,PSE,2013,5
ARM,SYR,2013,11090
ARM,TUR,2013,2
ABW,COL,2013,1
AUS,AFG,2013,8368
AUS,ALB,2013,66
AUS,DZA,2013,10
AUS,AGO,2013,2
AUS,ARG,2013,1
AUS,ARM,2013,4
AUS,AZE,2013,2
AUS,BHR,2013,82
AUS,BGD,2013,343
AUS,BLR,2013,4
AUS,BEN,2013,1
AUS,BTN,2013,2
AUS,BIH,2013,1
AUS,BWA,2013,1
AUS,BRA,2013,3
AUS,BGR,2013,1
AUS,BDI,2013,26
AUS,KHM,2013,23
AUS,CMR,2013,52
AUS,TCD,2013,3
AUS,CHL,2013,1
AUS,CHN,2013,2820
AUS,COL,2013,124
AUS,COG,2013,16
AUS,CIV,2013,6
AUS,HRV,2013,3
AUS,CUB,2013,3
AUS,CZE,2013,1
AUS,PRK,2013,30
AUS,COD,2013,28
AUS,DNK,2013,2
AUS,DJI,2013,2
AUS,ECU,2013,3
AUS,EGY,2013,1132
AUS,SLV,2013,5
AUS,ERI,2013,91
AUS,ETH,2013,191
AUS,FJI,2013,324
AUS,FRA,2013,4
AUS,GMB,2013,3
AUS,GEO,2013,9
AUS,DEU,2013,2
AUS,GHA,2013,34
AUS,GRC,2013,2
AUS,GIN,2013,6
AUS,IND,2013,265
AUS,IDN,2013,233
AUS,IRQ,2013,2963
AUS,IRN,2013,4596
AUS,ISR,2013,36
AUS,ITA,2013,2
AUS,JPN,2013,5
AUS,JOR,2013,90
AUS,KAZ,2013,4
AUS,KEN,2013,58
AUS,KWT,2013,41
AUS,KGZ,2013,8
AUS,LAO,2013,2
AUS,LVA,2013,6
AUS,LBN,2013,346
AUS,LBR,2013,23
AUS,LBY,2013,309
AUS,MWI,2013,0
AUS,MYS,2013,86
AUS,MDV,2013,4
AUS,MLI,2013,2
AUS,MLT,2013,1
AUS,MRT,2013,0
AUS,MUS,2013,1
AUS,MEX,2013,3
AUS,MNG,2013,50
AUS,MAR,2013,18
AUS,MOZ,2013,5
AUS,MMR,2013,513
AUS,NPL,2013,197
AUS,NLD,2013,2
AUS,NZL,2013,4
AUS,NER,2013,2
AUS,NGA,2013,132
AUS,PAK,2013,2608
AUS,PNG,2013,219
AUS,PER,2013,2
AUS,PHL,2013,30
AUS,POL,2013,1
AUS,KOR,2013,42
AUS,ROU,2013,12
AUS,RUS,2013,66
AUS,RWA,2013,27
AUS,WSM,2013,1
AUS,SAU,2013,49
AUS,SEN,2013,6
AUS,SRB,2013,77
AUS,SLE,2013,33
AUS,SLB,2013,15
AUS,SOM,2013,67
AUS,ZAF,2013,32
AUS,LKA,2013,3313
AUS,PSE,2013,238
AUS,SDN,2013,56
AUS,SWE,2013,1
AUS,SYR,2013,265
AUS,TJK,2013,1
AUS,THA,2013,16
AUS,"Tibetans",2013,7
AUS,TLS,2013,8
AUS,TGO,2013,3
AUS,TON,2013,16
AUS,TUN,2013,6
AUS,TUR,2013,349
AUS,TKM,2013,2
AUS,UGA,2013,48
AUS,UKR,2013,20
AUS,ARE,2013,4
AUS,GBR,2013,4
AUS,TZA,2013,9
AUS,USA,2013,8
AUS,UZB,2013,29
AUS,VUT,2013,1
AUS,VEN,2013,9
AUS,VNM,2013,90
AUS,YEM,2013,6
AUS,ZMB,2013,6
AUS,ZWE,2013,991
AUT,AFG,2013,11906
AUT,ALB,2013,125
AUT,DZA,2013,51
AUT,AGO,2013,157
AUT,ARM,2013,998
AUT,AZE,2013,425
AUT,BGD,2013,126
AUT,BLR,2013,111
AUT,BEN,2013,5
AUT,BTN,2013,2
AUT,BOL,2013,10
AUT,BIH,2013,210
AUT,BRA,2013,1
AUT,BGR,2013,5
AUT,BFA,2013,11
AUT,BDI,2013,21
AUT,KHM,2013,1
AUT,CMR,2013,235
AUT,CAN,2013,1
AUT,TCD,2013,1
AUT,CHN,2013,388
AUT,COL,2013,19
AUT,COG,2013,122
AUT,CIV,2013,60
AUT,HRV,2013,9
AUT,CUB,2013,24
AUT,CZE,2013,1
AUT,COD,2013,448
AUT,EGY,2013,96
AUT,GNQ,2013,1
AUT,ERI,2013,101
AUT,EST,2013,3
AUT,ETH,2013,136
AUT,FRA,2013,0
AUT,GMB,2013,101
AUT,GEO,2013,788
AUT,GHA,2013,39
AUT,GTM,2013,6
AUT,GIN,2013,86
AUT,GNB,2013,4
AUT,IND,2013,53
AUT,IRQ,2013,2966
AUT,IRN,2013,3188
AUT,ISR,2013,2
AUT,JOR,2013,13
AUT,KAZ,2013,49
AUT,KEN,2013,27
AUT,KWT,2013,2
AUT,KGZ,2013,272
AUT,LAO,2013,1
AUT,LVA,2013,2
AUT,LBN,2013,50
AUT,LBR,2013,26
AUT,LBY,2013,6
AUT,MDG,2013,5
AUT,MLI,2013,11
AUT,MRT,2013,7
AUT,MUS,2013,2
AUT,MEX,2013,1
AUT,MNG,2013,183
AUT,MNE,2013,13
AUT,MAR,2013,15
AUT,MMR,2013,26
AUT,NPL,2013,41
AUT,NER,2013,1
AUT,NGA,2013,346
AUT,PAK,2013,131
AUT,PER,2013,2
AUT,PHL,2013,9
AUT,KOR,2013,2
AUT,MDA,2013,147
AUT,ROU,2013,36
AUT,RUS,2013,19577
AUT,RWA,2013,28
AUT,SEN,2013,7
AUT,SRB,2013,3075
AUT,SLE,2013,32
AUT,SVK,2013,2
AUT,SOM,2013,2278
AUT,ZAF,2013,5
AUT,SSD,2013,3
AUT,LKA,2013,32
AUT,SDN,2013,265
AUT,SYR,2013,2748
AUT,TJK,2013,70
AUT,MKD,2013,161
AUT,TGO,2013,26
AUT,TUN,2013,8
AUT,TUR,2013,1276
AUT,TKM,2013,8
AUT,UGA,2013,18
AUT,UKR,2013,311
AUT,TZA,2013,2
AUT,USA,2013,1
AUT,UZB,2013,142
AUT,VNM,2013,38
AUT,YEM,2013,14
AUT,ZWE,2013,23
AZE,AFG,2013,603
AZE,ARM,2013,5
AZE,KHM,2013,1
AZE,COD,2013,1
AZE,IRQ,2013,9
AZE,IRN,2013,77
AZE,KAZ,2013,0
AZE,PAK,2013,9
AZE,RUS,2013,657
AZE,PSE,2013,8
AZE,SYR,2013,9
AZE,ARE,2013,1
BHS,CUB,2013,14
BHS,IRN,2013,0
BHS,NGA,2013,1
BHR,IRQ,2013,294
BGD,CIV,2013,1
BGD,IRQ,2013,3
BGD,IRN,2013,0
BGD,MMR,2013,231125
BGD,SOM,2013,12
BGD,LKA,2013,1
BGD,PSE,2013,2
BGD,SDN,2013,1
BRB,SYR,2013,1
BLR,AFG,2013,405
BLR,ARM,2013,6
BLR,AZE,2013,16
BLR,EGY,2013,6
BLR,ETH,2013,8
BLR,GEO,2013,90
BLR,IRQ,2013,1
BLR,IRN,2013,16
BLR,LBR,2013,1
BLR,LBY,2013,1
BLR,PAK,2013,0
BLR,RWA,2013,1
BLR,LKA,2013,1
BLR,PSE,2013,5
BLR,SYR,2013,35
BLR,TJK,2013,12
BEL,AFG,2013,4328
BEL,ALB,2013,398
BEL,DZA,2013,28
BEL,AGO,2013,67
BEL,ARG,2013,3
BEL,ARM,2013,129
BEL,AUT,2013,1
BEL,AZE,2013,36
BEL,BGD,2013,12
BEL,BLR,2013,43
BEL,BEN,2013,22
BEL,BTN,2013,2
BEL,BOL,2013,2
BEL,BIH,2013,41
BEL,BGR,2013,16
BEL,BFA,2013,52
BEL,BDI,2013,309
BEL,KHM,2013,5
BEL,CMR,2013,354
BEL,CAN,2013,1
BEL,CAF,2013,10
BEL,TCD,2013,39
BEL,CHL,2013,20
BEL,CHN,2013,958
BEL,COL,2013,28
BEL,COG,2013,27
BEL,CIV,2013,190
BEL,HRV,2013,7
BEL,CUB,2013,2
BEL,CZE,2013,2
BEL,PRK,2013,68
BEL,COD,2013,916
BEL,DNK,2013,1
BEL,DJI,2013,113
BEL,DOM,2013,0
BEL,EGY,2013,19
BEL,SLV,2013,13
BEL,GNQ,2013,5
BEL,ERI,2013,105
BEL,EST,2013,0
BEL,ETH,2013,82
BEL,FIN,2013,1
BEL,FRA,2013,1
BEL,GAB,2013,10
BEL,GMB,2013,19
BEL,GEO,2013,33
BEL,DEU,2013,1
BEL,GHA,2013,18
BEL,GTM,2013,7
BEL,GIN,2013,2290
BEL,GNB,2013,7
BEL,HTI,2013,2
BEL,HND,2013,1
BEL,HUN,2013,21
BEL,IND,2013,9
BEL,IRQ,2013,3058
BEL,IRN,2013,486
BEL,ISR,2013,7
BEL,ITA,2013,1
BEL,JOR,2013,27
BEL,KAZ,2013,33
BEL,KEN,2013,29
BEL,KWT,2013,4
BEL,KGZ,2013,56
BEL,LAO,2013,7
BEL,LVA,2013,1
BEL,LBN,2013,66
BEL,LBR,2013,17
BEL,LBY,2013,4
BEL,LTU,2013,3
BEL,MDG,2013,3
BEL,MYS,2013,1
BEL,MLI,2013,17
BEL,MRT,2013,155
BEL,MUS,2013,1
BEL,MEX,2013,1
BEL,MNG,2013,3
BEL,MNE,2013,1
BEL,MAR,2013,27
BEL,MMR,2013,18
BEL,NAM,2013,1
BEL,NPL,2013,12
BEL,NLD,2013,5
BEL,NER,2013,45
BEL,NGA,2013,23
BEL,PAK,2013,77
BEL,PER,2013,4
BEL,POL,2013,65
BEL,MDA,2013,3
BEL,ROU,2013,25
BEL,RUS,2013,2177
BEL,RWA,2013,798
BEL,SEN,2013,293
BEL,SRB,2013,822
BEL,SLE,2013,29
BEL,SVK,2013,1
BEL,SOM,2013,559
BEL,ZAF,2013,2
BEL,ESP,2013,1
BEL,LKA,2013,313
BEL,PSE,2013,125
BEL,SDN,2013,129
BEL,SWE,2013,1
BEL,CHE,2013,1
BEL,SYR,2013,1987
BEL,TJK,2013,5
BEL,THA,2013,0
BEL,MKD,2013,0
BEL,"Tibetans",2013,0
BEL,TGO,2013,143
BEL,TUN,2013,5
BEL,TUR,2013,472
BEL,TKM,2013,1
BEL,UGA,2013,18
BEL,UKR,2013,33
BEL,ARE,2013,0
BEL,TZA,2013,55
BEL,USA,2013,3
BEL,URY,2013,0
BEL,UZB,2013,23
BEL,VNM,2013,15
BEL,YEM,2013,6
BEL,ZWE,2013,5
BLZ,CUB,2013,0
BLZ,SLV,2013,21
BEN,AGO,2013,0
BEN,BFA,2013,0
BEN,BDI,2013,0
BEN,CMR,2013,0
BEN,CAF,2013,11
BEN,TCD,2013,0
BEN,COG,2013,0
BEN,CIV,2013,159
BEN,COD,2013,1
BEN,GNQ,2013,0
BEN,ERI,2013,4
BEN,GHA,2013,0
BEN,IRQ,2013,1
BEN,IRN,2013,0
BEN,MLI,2013,5
BEN,NGA,2013,0
BEN,PAK,2013,5
BEN,RWA,2013,0
BEN,SLE,2013,0
BEN,LKA,2013,5
BEN,SDN,2013,2
BEN,SYR,2013,1
BEN,TGO,2013,0
BOL,AGO,2013,1
BOL,CMR,2013,1
BOL,CHN,2013,8
BOL,COL,2013,178
BOL,COG,2013,1
BOL,CIV,2013,1
BOL,CUB,2013,9
BOL,ECU,2013,2
BOL,ETH,2013,2
BOL,GHA,2013,1
BOL,HND,2013,1
BOL,IRQ,2013,16
BOL,ISR,2013,1
BOL,PER,2013,513
BOL,PRT,2013,1
BOL,RUS,2013,5
BOL,SRB,2013,1
BOL,LKA,2013,1
BOL,SYR,2013,3
BOL,UKR,2013,1
BOL,VEN,2013,1
BIH,DZA,2013,1
BIH,CMR,2013,1
BIH,HRV,2013,6709
BIH,ERI,2013,3
BIH,IRQ,2013,1
BIH,MNE,2013,1
BIH,MMR,2013,1
BIH,MDA,2013,3
BIH,SAU,2013,1
BIH,SRB,2013,147
BIH,LKA,2013,1
BIH,PSE,2013,5
BIH,SYR,2013,48
BIH,MKD,2013,4
BWA,DZA,2013,1
BWA,AGO,2013,0
BWA,BDI,2013,68
BWA,KHM,2013,1
BWA,COD,2013,174
BWA,ETH,2013,6
BWA,KEN,2013,4
BWA,NAM,2013,977
BWA,RWA,2013,62
BWA,SOM,2013,450
BWA,SSD,2013,1
BWA,SDN,2013,7
BWA,UGA,2013,27
BWA,ZWE,2013,995
BRA,AFG,2013,41
BRA,DZA,2013,7
BRA,AGO,2013,1062
BRA,ARG,2013,11
BRA,ARM,2013,3
BRA,BGD,2013,4
BRA,BTN,2013,29
BRA,BOL,2013,143
BRA,BIH,2013,4
BRA,BFA,2013,2
BRA,BDI,2013,33
BRA,CPV,2013,1
BRA,CMR,2013,8
BRA,CAF,2013,3
BRA,TCD,2013,2
BRA,CHL,2013,21
BRA,COL,2013,1147
BRA,COG,2013,8
BRA,CRI,2013,2
BRA,CIV,2013,28
BRA,HRV,2013,5
BRA,CUB,2013,135
BRA,COD,2013,617
BRA,DOM,2013,2
BRA,ECU,2013,57
BRA,EGY,2013,5
BRA,SLV,2013,5
BRA,ERI,2013,25
BRA,ETH,2013,20
BRA,GMB,2013,4
BRA,GEO,2013,10
BRA,GHA,2013,12
BRA,GIN,2013,9
BRA,GNB,2013,11
BRA,HTI,2013,3
BRA,HUN,2013,1
BRA,IND,2013,1
BRA,IRQ,2013,217
BRA,IRN,2013,39
BRA,JOR,2013,2
BRA,KWT,2013,1
BRA,LBN,2013,34
BRA,LBR,2013,258
BRA,LBY,2013,3
BRA,MLI,2013,23
BRA,MRT,2013,2
BRA,MAR,2013,5
BRA,MOZ,2013,1
BRA,NPL,2013,4
BRA,NIC,2013,1
BRA,NGA,2013,55
BRA,PAK,2013,60
BRA,PRY,2013,7
BRA,PER,2013,45
BRA,POL,2013,2
BRA,ROU,2013,1
BRA,RUS,2013,9
BRA,RWA,2013,18
BRA,SEN,2013,7
BRA,SRB,2013,92
BRA,SLE,2013,137
BRA,SVN,2013,1
BRA,SOM,2013,45
BRA,ZAF,2013,3
BRA,LKA,2013,6
BRA,PSE,2013,212
BRA,SDN,2013,46
BRA,SYR,2013,333
BRA,MKD,2013,6
BRA,UGA,2013,2
BRA,UKR,2013,1
BRA,TZA,2013,5
BRA,USA,2013,1
BRA,URY,2013,1
BRA,VEN,2013,14
BRA,VNM,2013,4
BRA,ZWE,2013,4
VGB,LKA,2013,0
BGR,AFG,2013,268
BGR,ALB,2013,5
BGR,DZA,2013,1
BGR,AGO,2013,0
BGR,ARM,2013,28
BGR,AZE,2013,1
BGR,BGD,2013,9
BGR,BLR,2013,2
BGR,BEN,2013,0
BGR,BDI,2013,1
BGR,CMR,2013,0
BGR,COG,2013,6
BGR,CIV,2013,3
BGR,CUB,2013,5
BGR,COD,2013,2
BGR,EGY,2013,15
BGR,ERI,2013,4
BGR,ETH,2013,7
BGR,GEO,2013,6
BGR,GIN,2013,1
BGR,IND,2013,2
BGR,IRQ,2013,1200
BGR,IRN,2013,70
BGR,JOR,2013,3
BGR,LBN,2013,12
BGR,LBR,2013,1
BGR,LBY,2013,1
BGR,MLI,2013,1
BGR,NPL,2013,2
BGR,NGA,2013,8
BGR,PAK,2013,4
BGR,RUS,2013,3
BGR,RWA,2013,1
BGR,SOM,2013,86
BGR,LKA,2013,2
BGR,SDN,2013,24
BGR,SYR,2013,2104
BGR,TUN,2013,5
BGR,TUR,2013,18
BGR,UGA,2013,1
BGR,ARE,2013,1
BGR,TZA,2013,1
BGR,ZWE,2013,2
BFA,BDI,2013,61
BFA,CMR,2013,9
BFA,CAF,2013,18
BFA,TCD,2013,187
BFA,COG,2013,94
BFA,CIV,2013,12
BFA,COD,2013,47
BFA,ERI,2013,1
BFA,GHA,2013,1
BFA,GIN,2013,3
BFA,MLI,2013,28684
BFA,MRT,2013,1
BFA,RWA,2013,74
BFA,SDN,2013,7
BFA,TGO,2013,30
BFA,VNM,2013,5
BDI,BEN,2013,0
BDI,COD,2013,45124
BDI,ETH,2013,0
BDI,MLI,2013,1
BDI,MRT,2013,0
BDI,MOZ,2013,0
BDI,RWA,2013,346
BDI,SOM,2013,17
BDI,SDN,2013,1
BDI,ZMB,2013,1
KHM,COD,2013,1
KHM,MMR,2013,24
KHM,PAK,2013,1
KHM,SOM,2013,1
KHM,LKA,2013,5
KHM,SDN,2013,1
KHM,VNM,2013,35
CMR,DZA,2013,2
CMR,AGO,2013,12
CMR,BFA,2013,1
CMR,BDI,2013,71
CMR,KHM,2013,5
CMR,CAF,2013,103892
CMR,TCD,2013,1721
CMR,COG,2013,61
CMR,CIV,2013,109
CMR,COD,2013,464
CMR,GNQ,2013,9
CMR,ERI,2013,1
CMR,GAB,2013,3
CMR,GHA,2013,0
CMR,GIN,2013,14
CMR,IRN,2013,1
CMR,LBR,2013,17
CMR,MLI,2013,2
CMR,MRT,2013,4
CMR,MAR,2013,1
CMR,NGA,2013,7459
CMR,RWA,2013,823
CMR,SEN,2013,2
CMR,SOM,2013,1
CMR,SSD,2013,3
CMR,SDN,2013,62
CMR,SWZ,2013,1
CMR,SYR,2013,1
CMR,TGO,2013,10
CMR,UGA,2013,1
CAN,AFG,2013,2700
CAN,ALB,2013,1706
CAN,DZA,2013,443
CAN,AGO,2013,650
CAN,ATG,2013,45
CAN,ARG,2013,239
CAN,ARM,2013,190
CAN,AUS,2013,6
CAN,AZE,2013,550
CAN,BHS,2013,23
CAN,BHR,2013,6
CAN,BGD,2013,1764
CAN,BRB,2013,63
CAN,BLR,2013,268
CAN,BEL,2013,16
CAN,BLZ,2013,7
CAN,BEN,2013,46
CAN,BTN,2013,22
CAN,BOL,2013,152
CAN,BIH,2013,85
CAN,BWA,2013,149
CAN,BRA,2013,177
CAN,BGR,2013,813
CAN,BFA,2013,146
CAN,BDI,2013,2278
CAN,KHM,2013,186
CAN,CMR,2013,932
CAN,CAF,2013,64
CAN,TCD,2013,519
CAN,CHL,2013,130
CAN,CHN,2013,15344
CAN,COL,2013,17381
CAN,COM,2013,4
CAN,COG,2013,265
CAN,CRI,2013,267
CAN,CIV,2013,423
CAN,HRV,2013,70
CAN,CUB,2013,1674
CAN,CYP,2013,1
CAN,CZE,2013,238
CAN,PRK,2013,127
CAN,COD,2013,3874
CAN,DNK,2013,6
CAN,DJI,2013,289
CAN,DMA,2013,30
CAN,DOM,2013,167
CAN,ECU,2013,216
CAN,EGY,2013,638
CAN,SLV,2013,1223
CAN,GNQ,2013,12
CAN,ERI,2013,1676
CAN,EST,2013,14
CAN,ETH,2013,2163
CAN,FJI,2013,273
CAN,FIN,2013,2
CAN,FRA,2013,36
CAN,GAB,2013,55
CAN,GMB,2013,72
CAN,GEO,2013,485
CAN,DEU,2013,90
CAN,GHA,2013,361
CAN,GRC,2013,18
CAN,GRD,2013,304
CAN,GTM,2013,864
CAN,GIN,2013,839
CAN,GNB,2013,20
CAN,GUY,2013,640
CAN,HTI,2013,7872
CAN,HND,2013,679
CAN,HKG,2013,19
CAN,HUN,2013,765
CAN,IND,2013,4988
CAN,IDN,2013,358
CAN,IRQ,2013,1730
CAN,IRL,2013,7
CAN,IRN,2013,3033
CAN,ISR,2013,687
CAN,ITA,2013,17
CAN,JAM,2013,621
CAN,JPN,2013,26
CAN,JOR,2013,414
CAN,KAZ,2013,149
CAN,KEN,2013,1019
CAN,KIR,2013,3
CAN,KWT,2013,51
CAN,KGZ,2013,120
CAN,LAO,2013,6
CAN,LVA,2013,55
CAN,LBN,2013,1103
CAN,LSO,2013,5
CAN,LBR,2013,134
CAN,LBY,2013,230
CAN,LTU,2013,108
CAN,MDG,2013,16
CAN,MWI,2013,28
CAN,MYS,2013,193
CAN,MDV,2013,1
CAN,MLI,2013,87
CAN,MLT,2013,2
CAN,MRT,2013,294
CAN,MUS,2013,7
CAN,MEX,2013,6512
CAN,MNG,2013,127
CAN,MNE,2013,18
CAN,MAR,2013,173
CAN,MOZ,2013,6
CAN,MMR,2013,283
CAN,NAM,2013,106
CAN,NPL,2013,1212
CAN,NLD,2013,34
CAN,NZL,2013,2
CAN,NIC,2013,132
CAN,NER,2013,81
CAN,NGA,2013,4441
CAN,NOR,2013,3
CAN,OMN,2013,15
CAN,PAK,2013,10641
CAN,PAN,2013,48
CAN,PNG,2013,0
CAN,PRY,2013,47
CAN,PER,2013,1757
CAN,PHL,2013,321
CAN,POL,2013,325
CAN,PRT,2013,12
CAN,QAT,2013,5
CAN,KOR,2013,280
CAN,MDA,2013,198
CAN,ROU,2013,577
CAN,RUS,2013,1527
CAN,RWA,2013,1655
CAN,KNA,2013,12
CAN,LCA,2013,697
CAN,VCT,2013,1524
CAN,SMR,2013,1
CAN,SAU,2013,135
CAN,SEN,2013,197
CAN,SRB,2013,418
CAN,SYC,2013,10
CAN,SLE,2013,187
CAN,SGP,2013,28
CAN,SVK,2013,30
CAN,SVN,2013,9
CAN,SLB,2013,39
CAN,SOM,2013,3225
CAN,ZAF,2013,45
CAN,ESP,2013,20
CAN,LKA,2013,12326
CAN,PSE,2013,682
CAN,SDN,2013,905
CAN,SUR,2013,8
CAN,SWZ,2013,71
CAN,SWE,2013,3
CAN,CHE,2013,11
CAN,SYR,2013,592
CAN,TJK,2013,54
CAN,THA,2013,38
CAN,MKD,2013,100
CAN,"Tibetans",2013,58
CAN,TGO,2013,248
CAN,TTO,2013,244
CAN,TUN,2013,202
CAN,TUR,2013,3464
CAN,TKM,2013,21
CAN,UGA,2013,844
CAN,UKR,2013,1605
CAN,ARE,2013,28
CAN,GBR,2013,69
CAN,TZA,2013,421
CAN,USA,2013,4451
CAN,URY,2013,126
CAN,UZB,2013,273
CAN,VEN,2013,837
CAN,VNM,2013,132
CAN,YEM,2013,251
CAN,ZMB,2013,60
CAN,ZWE,2013,3969
CYM,AFG,2013,2
CYM,CUB,2013,1
CYM,MEX,2013,3
CAF,AGO,2013,9
CAF,BDI,2013,23
CAF,CMR,2013,2
CAF,TCD,2013,861
CAF,COG,2013,13
CAF,CIV,2013,9
CAF,COD,2013,10992
CAF,GIN,2013,5
CAF,LBR,2013,10
CAF,NER,2013,1
CAF,RWA,2013,213
CAF,SLE,2013,6
CAF,SDN,2013,2172
CAF,UGA,2013,3
CAF,TZA,2013,3
TCD,AFG,2013,1
TCD,CMR,2013,4
TCD,CAF,2013,80545
TCD,COG,2013,6
TCD,CIV,2013,7
TCD,COD,2013,313
TCD,EGY,2013,1
TCD,ERI,2013,38
TCD,ETH,2013,5
TCD,GIN,2013,3
TCD,IRN,2013,1
TCD,LBR,2013,3
TCD,LBY,2013,0
TCD,MLI,2013,0
TCD,NER,2013,1
TCD,NGA,2013,553
TCD,RWA,2013,19
TCD,SOM,2013,12
TCD,SDN,2013,352948
TCD,SYR,2013,15
TCD,TGO,2013,2
TCD,YEM,2013,2
CHL,AFG,2013,14
CHL,ARG,2013,1
CHL,CMR,2013,1
CHL,COL,2013,977
CHL,CRI,2013,3
CHL,CUB,2013,18
CHL,COD,2013,5
CHL,ECU,2013,18
CHL,SLV,2013,3
CHL,HTI,2013,1
CHL,IRQ,2013,2
CHL,KEN,2013,2
CHL,NGA,2013,3
CHL,PER,2013,118
CHL,RUS,2013,2
CHL,SOM,2013,2
CHL,LKA,2013,6
CHL,PSE,2013,119
CHL,SYR,2013,5
CHN,AFG,2013,7
CHN,IRQ,2013,15
CHN,IRN,2013,1
CHN,PAK,2013,40
CHN,RWA,2013,0
CHN,SOM,2013,82
CHN,PSE,2013,5
CHN,VNM,2013,300896
CHN,ZWE,2013,1
COL,AFG,2013,2
COL,AGO,2013,5
COL,BEN,2013,1
COL,BOL,2013,1
COL,CHN,2013,1
COL,COG,2013,2
COL,CUB,2013,62
COL,COD,2013,1
COL,DOM,2013,1
COL,ECU,2013,8
COL,SLV,2013,7
COL,ERI,2013,4
COL,ETH,2013,16
COL,GHA,2013,1
COL,HTI,2013,1
COL,HUN,2013,7
COL,IRQ,2013,4
COL,IRN,2013,2
COL,LBR,2013,3
COL,MRT,2013,1
COL,NPL,2013,2
COL,NIC,2013,24
COL,PAK,2013,1
COL,PER,2013,8
COL,ROU,2013,7
COL,RUS,2013,3
COL,SRB,2013,7
COL,SLE,2013,5
COL,SOM,2013,11
COL,LKA,2013,2
COL,PSE,2013,1
COL,SDN,2013,1
COL,SYR,2013,2
COL,TUR,2013,2
COL,VEN,2013,15
COG,AGO,2013,326
